,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,cat
10,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.70717, 'longitude': -74.00192}",(917) 363-8101,664.732518563628,fishmarket-restaurant-new-york,https://s3-media1.fl.yelpcdn.com/bphoto/BxY50B6ntFYQa8COuI1Fog/o.jpg,False,"{'address1': '111 South St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['111 South St', 'New York, NY 10038']}",Fishmarket Restaurant,+19173638101,$$,4.5,391,[],https://www.yelp.com/biz/fishmarket-restaurant-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
11,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.741153717041, 'longitude': -73.8796234130859}",(718) 639-3996,10451.19431536942,lao-bei-fang-dumpling-house-elmhurst,https://s3-media3.fl.yelpcdn.com/bphoto/0ZQS7UNZjh7oy1ITOG7WbA/o.jpg,False,"{'address1': '8305 Broadway', 'address2': '', 'address3': '', 'city': 'Elmhurst', 'zip_code': '11373', 'country': 'US', 'state': 'NY', 'display_address': ['8305 Broadway', 'Elmhurst, NY 11373']}",Lao Bei Fang Dumpling House,+17186393996,$,4.0,474,[],https://www.yelp.com/biz/lao-bei-fang-dumpling-house-elmhurst?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
12,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.715082, 'longitude': -73.997342}",,1101.980668788026,xian-famous-foods-new-york-21,https://s3-media2.fl.yelpcdn.com/bphoto/-AY0CVtD3LdrvViN5KmbuQ/o.jpg,False,"{'address1': '45 Bayard St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['45 Bayard St', 'New York, NY 10013']}",Xi'an Famous Foods,,$,4.0,791,[],https://www.yelp.com/biz/xian-famous-foods-new-york-21?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
13,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'spanish', 'title': 'Spanish'}]","{'latitude': 40.7860908508301, 'longitude': -73.9765853881836}",(212) 787-3388,9090.202753590278,flor-de-mayo-new-york-2,https://s3-media4.fl.yelpcdn.com/bphoto/QLmXYr-1-qwNT38lVG2XbA/o.jpg,False,"{'address1': '484 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['484 Amsterdam Ave', 'New York, NY 10024']}",Flor De Mayo,+12127873388,$$,4.0,1000,[],https://www.yelp.com/biz/flor-de-mayo-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
14,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]","{'latitude': 40.76015, 'longitude': -73.9893699}",(646) 861-1910,6102.326627402376,dim-sum-palace-new-york-8,https://s3-media1.fl.yelpcdn.com/bphoto/_2lOaUHflyqqEJ0lUxURJw/o.jpg,False,"{'address1': '334 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['334 W 46th St', 'New York, NY 10036']}",Dim Sum Palace,+16468611910,$$,4.0,518,"['delivery', 'pickup']",https://www.yelp.com/biz/dim-sum-palace-new-york-8?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
15,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.71839, 'longitude': -73.9917399}",(212) 625-8008,1449.932796307664,vanessas-dumpling-house-new-york-2,https://s3-media2.fl.yelpcdn.com/bphoto/j4gmLuMTQ1Vrn3-1Eqo26g/o.jpg,False,"{'address1': '118A Eldridge St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['118A Eldridge St', 'New York, NY 10002']}",Vanessa's Dumpling House,+12126258008,$,4.0,2134,['pickup'],https://www.yelp.com/biz/vanessas-dumpling-house-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
16,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.7499225208569, 'longitude': -73.9819464127197}",(212) 213-2810,5053.9336623162035,café-china-new-york-2,https://s3-media1.fl.yelpcdn.com/bphoto/tkk29bB07xUdPFqZIlUC3g/o.jpg,False,"{'address1': '13 E 37th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['13 E 37th St', 'New York, NY 10016']}",Café China,+12122132810,$$,4.0,917,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/caf%C3%A9-china-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
17,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]","{'latitude': 40.6026411895768, 'longitude': -74.0038766549142}",(718) 256-6868,11459.786476459361,lius-shanghai-brooklyn-2,https://s3-media1.fl.yelpcdn.com/bphoto/L3L94OiVOcrRRyeCdER4EQ/o.jpg,False,"{'address1': '1869 Bath Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['1869 Bath Ave', 'Brooklyn, NY 11214']}",Liu's Shanghai,+17182566868,$$,4.5,245,[],https://www.yelp.com/biz/lius-shanghai-brooklyn-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
18,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'hainan', 'title': 'Hainan'}]","{'latitude': 40.7429414097644, 'longitude': -73.8832733356575}",(718) 424-7156,10242.660253674614,eim-khao-mun-kai-elmhurst-elmhurst,https://s3-media2.fl.yelpcdn.com/bphoto/LLVwFHmjragZHtXWj4XqjQ/o.jpg,False,"{'address1': '81-32 Broadway', 'address2': '', 'address3': '', 'city': 'Elmhurst', 'zip_code': '11373', 'country': 'US', 'state': 'NY', 'display_address': ['81-32 Broadway', 'Elmhurst, NY 11373']}",Eim Khao Mun Kai Elmhurst,+17184247156,$,4.5,253,[],https://www.yelp.com/biz/eim-khao-mun-kai-elmhurst-elmhurst?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
19,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.72911, 'longitude': -73.98858}",(917) 388-3866,2686.63414732475,szechuan-mountain-house-new-york-2,https://s3-media3.fl.yelpcdn.com/bphoto/KAd8gUCx-1lUTKCHKThiKg/o.jpg,False,"{'address1': '23 St Marks Pl', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['23 St Marks Pl', 'New York, NY 10003']}",Szechuan Mountain House,+19173883866,$$,4.5,28,[],https://www.yelp.com/biz/szechuan-mountain-house-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
20,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]","{'latitude': 40.7627694517048, 'longitude': -73.9759005803566}",(212) 333-3868,6559.877707504288,joes-shanghai-new-york-4,https://s3-media4.fl.yelpcdn.com/bphoto/o2qnIY6EWpzPwoDXlQ7ROA/o.jpg,False,"{'address1': '24 W 56th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['24 W 56th St', 'New York, NY 10019']}",Joe's Shanghai,+12123333868,$$,3.5,1186,"['delivery', 'pickup']",https://www.yelp.com/biz/joes-shanghai-new-york-4?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
21,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 40.7440494396358, 'longitude': -73.995028194335}",(212) 989-8885,4293.074947546992,excellent-dumpling-house-new-york-3,https://s3-media4.fl.yelpcdn.com/bphoto/ZnK3r6Knbjjqv3wfQUIExQ/o.jpg,False,"{'address1': '165 W 23rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['165 W 23rd St', 'New York, NY 10011']}",Excellent Dumpling House,+12129898885,$$,4.0,271,"['delivery', 'pickup']",https://www.yelp.com/biz/excellent-dumpling-house-new-york-3?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
22,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.61489, 'longitude': -73.99405}",(718) 232-6191,10069.069860440497,hand-pull-noodle-and-dumpling-house-brooklyn,https://s3-media3.fl.yelpcdn.com/bphoto/Sn2_hK-pBUGsIZtjWX7Eug/o.jpg,False,"{'address1': '7201 18th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11204', 'country': 'US', 'state': 'NY', 'display_address': ['7201 18th Ave', 'Brooklyn, NY 11204']}",Hand Pull Noodle and Dumpling House,+17182326191,$,4.0,238,"['delivery', 'pickup']",https://www.yelp.com/biz/hand-pull-noodle-and-dumpling-house-brooklyn?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
23,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.67484, 'longitude': -73.80398}",(718) 323-3555,16403.202869269575,nanking-south-ozone-park-6,https://s3-media2.fl.yelpcdn.com/bphoto/KEJHAg4_uJl7U4oZbkEoLg/o.jpg,False,"{'address1': '134-07 Rockaway Blvd', 'address2': '', 'address3': '', 'city': 'South Ozone Park', 'zip_code': '11420', 'country': 'US', 'state': 'NY', 'display_address': ['134-07 Rockaway Blvd', 'South Ozone Park, NY 11420']}",Nanking,+17183233555,$$,4.0,249,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/nanking-south-ozone-park-6?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
24,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 40.71614, 'longitude': -73.9979}",(212) 226-6889,1230.1140108288619,dim-sum-vip-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/KO1157aB-tDWto2oC1ipsA/o.jpg,False,"{'address1': '68 Mott St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['68 Mott St', 'New York, NY 10013']}",DIM SUM VIP,+12122266889,$,4.0,98,[],https://www.yelp.com/biz/dim-sum-vip-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
25,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]","{'latitude': 40.724081417449, 'longitude': -74.0098607540131}",(212) 431-0111,2452.72988917589,china-blue-new-york,https://s3-media3.fl.yelpcdn.com/bphoto/tKgN_Aefw0MTsADFrELhvw/o.jpg,False,"{'address1': '135 Watts St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['135 Watts St', 'New York, NY 10013']}",China Blue,+12124310111,$$,4.0,411,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/china-blue-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
26,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.77395, 'longitude': -73.95793}",(212) 585-3388,8210.621392414429,tri-dim-shanghai-new-york-2,https://s3-media2.fl.yelpcdn.com/bphoto/FjXhtTUo3fTVp33wLrdUrw/o.jpg,False,"{'address1': '1378 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1378 3rd Ave', 'New York, NY 10075']}",Tri Dim Shanghai,+12125853388,$$,4.0,95,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/tri-dim-shanghai-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
27,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 40.7456439082048, 'longitude': -73.9062357614363}",(718) 672-1414,8687.68161861335,peking-bbq-woodside,https://s3-media4.fl.yelpcdn.com/bphoto/ox2KKgjYarx-ViE2IeQHdw/o.jpg,False,"{'address1': '58-11 Woodside Ave', 'address2': '', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['58-11 Woodside Ave', 'Woodside, NY 11377']}",Peking BBQ,+17186721414,$,4.0,205,[],https://www.yelp.com/biz/peking-bbq-woodside?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
28,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cantonese', 'title': 'Cantonese'}]","{'latitude': 40.714416, 'longitude': -73.999023}",(212) 964-8365,1072.4653401965559,hop-kee-new-york,https://s3-media3.fl.yelpcdn.com/bphoto/_sSq9uT3mNkiz3K-_DDggA/o.jpg,False,"{'address1': '21 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['21 Mott St', 'New York, NY 10013']}",Hop Kee,+12129648365,$$,4.0,671,[],https://www.yelp.com/biz/hop-kee-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
29,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.7147185237041, 'longitude': -73.9977966218067}",(212) 346-9050,1072.630781475094,taiwan-bear-house-new-york,https://s3-media3.fl.yelpcdn.com/bphoto/Y_uwlkbBnhDiXugVD8rQ3w/o.jpg,False,"{'address1': '11 Pell St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['11 Pell St', 'New York, NY 10013']}",Taiwan Bear House,+12123469050,$,4.0,225,"['delivery', 'pickup']",https://www.yelp.com/biz/taiwan-bear-house-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
30,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.708141, 'longitude': -74.017791}",(212) 786-1888,2006.8435273219638,ningbo-cafe-new-york-2,https://s3-media2.fl.yelpcdn.com/bphoto/eNAoxi_4GnxNKdxtrWz6LQ/o.jpg,False,"{'address1': '21 S End Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10280', 'country': 'US', 'state': 'NY', 'display_address': ['21 S End Ave', 'New York, NY 10280']}",Ningbo Cafe,+12127861888,$$,4.0,83,"['delivery', 'pickup']",https://www.yelp.com/biz/ningbo-cafe-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
31,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.72939, 'longitude': -73.988912}",(212) 388-9238,2700.92296058661,the-bao-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/kynVo_qEHG23O7ZoaRd7_w/o.jpg,False,"{'address1': '13 St Marks Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['13 St Marks Pl', 'New York, NY 10003']}",The Bao,+12123889238,$$,3.5,863,"['delivery', 'pickup']",https://www.yelp.com/biz/the-bao-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
